,,,,,,,,,,,
"Average Expenditures For Auto Insurance By State, 2013-2017",,,,,,,,,,,
,,,,,,,,,,,
,2017,2016,,Average expenditure,,,,,,,
State,Liability,Collision,Compre- hensive,Average expenditure,Rank (1),Average expenditure,Rank (1),"Average expenditure percent change, 2016-2017",2015,2014,2013
Alabama ,$478.68 ,$366.12 ,$169.90 ,$856.67 ,31,$791.40 ,37,8.20%,$739.93 ,$709.48 ,$685.91 
Alaska ,561.06,370.63,140.5,930.2,23,911.37,17,2.1,915.59,924.8,923.07
Arizona ,607.66,312.95,204.93,994.42,17,926.76,21,7.3,877.11,857.76,828.76
Arkansas ,458.33,364.07,216.7,848.24,32,781,36,8.6,742.44,736.57,715.32
California ,565.7,453.88,96.15,957.08,21,892.64,22,7.2,840.65,807.58,782.57
Colorado ,639.99,326.39,228.32,"1,050.19",15,945.59,18,11.1,869.84,824.06,779.12
Connecticut ,743.61,398.5,133.91,"1,168.33",9,"1,108.65",10,5.4,"1,074.95","1,054.22","1,031.10"
Delaware ,843.98,344.34,133.19,"1,221.29",8,"1,173.92",8,4,"1,146.44","1,125.65","1,104.46"
D.C.,744.18,497.81,224.28,"1,334.11",6,"1,258.45",5,6,"1,206.00","1,187.97","1,175.03"
Florida ,964.28,343.41,137.88,"1,356.90",3,"1,268.19",6,7,"1,190.50","1,139.30","1,142.47"
Georgia ,735.15,381.66,169.68,"1,127.22",13,1006.3,14,12,929.72,869.19,821.71
Hawaii,468.99,342.17,106.97,803.45,37,780.44,31,2.9,761.05,751.11,741.37
Idaho ,403.37,246.22,130.86,678.57,48,633.41,51,7.1,599.02,582.08,560.86
Illinois ,507.4,336,133.32,897.07,25,852.8,26,5.2,811.4,781.48,749.1
Indiana ,432.08,277.65,130.71,744.39,43,705.53,43,5.5,671.16,645.17,624.04
Iowa ,339.12,244.39,211.6,674.33,49,635.99,50,6,608.94,587.75,574.32
Kansas ,399.96,280.48,267.1,766.5,41,719.74,39,6.5,708.98,692.03,662.8
Kentucky ,585.99,300.45,157.38,896.33,26,840.07,27,6.7,801.75,780.83,770.87
Louisiana ,936.94,468.87,231.76,"1,443.72",1,"1,328.81",3,8.6,"1,254.37","1,209.60","1,161.25"
Maine ,370.18,286.22,108.54,667.38,50,646.63,48,3.2,619.02,596.58,584.38
Maryland,700.58,393.57,162.34,"1,149.42",10,"1,081.72",11,6.3,"1,020.65",998.56,976.31
Massachusetts ,642.92,427.17,145.1,"1,136.60",12,"1,096.53",9,3.7,"1,058.50","1,035.52","1,007.98"
